"Status","material","category","ドキュメント","valueA","dimA","valueB","dimB","valueC","dimC","valueD","dimD","Created Date","材質DB (All)","材質DB (Material)","standardB","standardC","standardA
","コメント","ID","Updated Date","Owner","note","refNum","作成者ID","materialCategory","checkA","standardA","checkB","checkC","checkD","Publish Date","Unpublish Date"
"PUBLISHED","せっこうボード（ＧＢ−ＲーＨ）","ボード類",,0.366,"W/mK",,"J/(kg･K)",,"msPa/ng",1200,"kg/m3",2023-06-02T00:11:19Z,"/material-db/","/cai-zhi-db-2/%E3%81%9B%E3%81%A3%E3%81%93%E3%81%86%E3%83%9C%E3%83%BC%E3%83%89%EF%BC%88%EF%BD%87%EF%BD%82%E2%88%92%EF%BD%92%E3%83%BC%EF%BD%88%EF%BC%89",,,"規格未指定",,"30ad9054-4d6b-4af5-a67f-6f6461ec347e",2024-10-26T13:57:18Z,"4163a983-3302-40a1-92a3-5e71e2861cb4",,"0103",,"[""186fd95c-e3e1-4f3c-ac9a-0663eeff3aac""]",true,"JIS規格値",,,true,,
"PUBLISHED","軽量骨材コンクリート１種","コンクリート・レンガ",,0.8,"W/mK",,"J/(kg･K)",,"msPa/ng",,"kg/m3",2023-06-02T00:11:19Z,"/material-db/","/cai-zhi-db-2/%E8%BB%BD%E9%87%8F%E9%AA%A8%E6%9D%90%E3%82%B3%E3%83%B3%E3%82%AF%E3%83%AA%E3%83%BC%E3%83%88%EF%BC%91%E7%A8%AE",,,,,"36fb344e-9186-4ada-b481-4c10063c71c5",2024-10-26T13:57:25Z,"4163a983-3302-40a1-92a3-5e71e2861cb4",,"0503",,"[""35701a3a-1763-444f-b988-bb1ec761d066""]",true,"規格未指定",,,,,
"PUBLISHED","天然木材２種　松、ラワン等","木質系・木質繊維系",,0.15,"W/mK",,"J/(kg･K)",,"msPa/ng",550,"kg/m3",2023-06-02T00:11:19Z,"/material-db/","/cai-zhi-db-2/%E5%A4%A9%E7%84%B6%E6%9C%A8%E6%9D%90%EF%BC%92%E7%A8%AE%E3%80%80%E6%9D%BE%E3%80%81%E3%83%A9%E3%83%AF%E3%83%B3%E7%AD%89",,,"慣例数値",,"3724747f-baca-4a8b-91d2-9a0dccd9347b",2024-10-26T13:57:22Z,"4163a983-3302-40a1-92a3-5e71e2861cb4",,"0208",,"[""1c19f19c-17bc-469f-9b6e-12a74725e401""]",true,"規格未指定",,,true,,
"PUBLISHED","3種aC ","押出法ポリスチレンフォーム断熱材",,0.024,"W/mK",,"J/(kg･K)",,"msPa/ng",25,"kg/m3",2023-06-02T00:11:19Z,"/material-db/","/cai-zhi-db-2/3%E7%A8%AEac-",,,"JIS A9521:2017",,"3b236224-f12b-4fe1-9b0e-a1e817a75974",2024-10-26T13:57:15Z,"4163a983-3302-40a1-92a3-5e71e2861cb4",,"1508",,"[""0e2ca370-52f6-46d3-838b-71afa49222b6""]",true,"JIS規格値",,,true,,
"PUBLISHED","3種aA ","押出法ポリスチレンフォーム断熱材",,0.028,"W/mK",,"J/(kg･K)",,"msPa/ng",25,"kg/m3",2023-06-02T00:11:19Z,"/material-db/","/cai-zhi-db-2/3%E7%A8%AEaa-",,,"JIS A9521:2017",,"3e7fc4e2-904f-4f16-bb0f-2b5c81c52479",2024-10-26T13:57:15Z,"4163a983-3302-40a1-92a3-5e71e2861cb4",,"1506",,"[""0e2ca370-52f6-46d3-838b-71afa49222b6""]",true,"JIS規格値",,,true,,
"PUBLISHED","耐火レンガ","コンクリート・レンガ",,0.99,"W/mK",,"J/(kg･K)",,"msPa/ng",,"kg/m3",2023-06-02T00:11:19Z,"/material-db/","/cai-zhi-db-2/%E8%80%90%E7%81%AB%E3%83%AC%E3%83%B3%E3%82%AC",,,,,"3f59bb70-caab-4535-bb5c-c3795f9425ab",2024-10-26T13:57:26Z,"4163a983-3302-40a1-92a3-5e71e2861cb4",,"0505",,"[""35701a3a-1763-444f-b988-bb1ec761d066""]",true,"規格未指定",,,,,
"PUBLISHED","2種 3号 AI、AII","フェノールフォーム断熱材 ",,0.028,"W/mK",,"J/(kg･K)",,"msPa/ng",25,"kg/m3",2023-06-02T00:11:19Z,"/material-db/","/cai-zhi-db-2/2%E7%A8%AE-3%E5%8F%B7-ai%E3%80%81aii",,,"JIS A9521:2017",,"43cce080-d2bb-457e-ab04-7658c846b22d",2024-10-26T13:57:04Z,"4163a983-3302-40a1-92a3-5e71e2861cb4",,"1917",,"[""50a941f9-c26d-45cd-b243-ea9fa9ea83c2""]",true,"JIS規格値",,,true,,
"PUBLISHED","2号","ビーズ法ポリスチレンフォーム断熱材",,0.036,"W/mK",,"J/(kg･K)",,"msPa/ng",25,"kg/m3",2023-06-02T00:11:19Z,"/material-db/","/cai-zhi-db-2/2%E5%8F%B7",,,"規格未指定",,"44660e36-7afa-4509-b9b9-a3d2b40150be",2024-10-26T13:57:12Z,"4163a983-3302-40a1-92a3-5e71e2861cb4",,"1401",,"[""ce240b3f-f789-4c41-88d5-c5d25d9c7804""]",true,"JIS規格値",,,true,,
"PUBLISHED","2種 2号 ","硬質ウレタンフォーム断熱材 ",,0.024,"W/mK",,"J/(kg･K)",,"msPa/ng",25,"kg/m3",2023-06-02T00:11:19Z,"/material-db/","/cai-zhi-db-2/2%E7%A8%AE-2%E5%8F%B7-",,,"JIS A9521:2017",,"4471a032-3da2-48b3-bfed-a3cbb2fd9c48",2024-10-26T13:57:17Z,"4163a983-3302-40a1-92a3-5e71e2861cb4",,"1602",,"[""e32957e6-a733-4485-b498-76193f5e50ec""]",true,"JIS規格値",,,true,,
"PUBLISHED","吹込み用グラスウール13K相当","グラスウール断熱材",,0.052,"W/mK",,"J/(kg･K)",,"msPa/ng",13,"kg/m3",2023-06-02T00:11:19Z,"/material-db/","/cai-zhi-db-2/%E5%90%B9%E8%BE%BC%E3%81%BF%E7%94%A8%E3%82%B0%E3%83%A9%E3%82%B9%E3%82%A6%E3%83%BC%E3%83%AB13k%E7%9B%B8%E5%BD%93",,,"JIS規格値",,"45398bfb-de8e-475f-9e0e-5d3d98a7d971",2024-10-26T13:57:09Z,"4163a983-3302-40a1-92a3-5e71e2861cb4",,"1110",,"[""5cc19fbf-4e63-46a0-8401-78f1725920a3""]",true,"規格未指定",,,true,,
"PUBLISHED","1種 2号 EI、EII","フェノールフォーム断熱材 ",,0.018,"W/mK",,"J/(kg･K)",,"msPa/ng",25,"kg/m3",2023-06-02T00:11:19Z,"/material-db/","/cai-zhi-db-2/1%E7%A8%AE-2%E5%8F%B7-ei%E3%80%81eii",,,"JIS A9521:2017",,"489608c8-e11d-427c-958a-aa9639f0a4dd",2024-10-26T13:57:02Z,"4163a983-3302-40a1-92a3-5e71e2861cb4",,"1909",,"[""50a941f9-c26d-45cd-b243-ea9fa9ea83c2""]",true,"JIS規格値",,,true,,
"PUBLISHED","吹込み用グラスウール30K相当","グラスウール断熱材",,0.04,"W/mK",,"J/(kg･K)",,"msPa/ng",30,"kg/m3",2023-06-02T00:11:19Z,"/material-db/","/cai-zhi-db-2/%E5%90%B9%E8%BE%BC%E3%81%BF%E7%94%A8%E3%82%B0%E3%83%A9%E3%82%B9%E3%82%A6%E3%83%BC%E3%83%AB30k%E7%9B%B8%E5%BD%93",,,"JIS規格値",,"492c9b0b-6458-4f37-991e-79bc25019c9c",2024-10-26T13:57:09Z,"4163a983-3302-40a1-92a3-5e71e2861cb4",,"1112",,"[""5cc19fbf-4e63-46a0-8401-78f1725920a3""]",true,"規格未指定",,,true,,
"PUBLISHED","1号","ビーズ法ポリスチレンフォーム断熱材",,0.034,"W/mK",,"J/(kg･K)",,"msPa/ng",30,"kg/m3",2023-06-02T00:11:19Z,"/material-db/","/cai-zhi-db-2/1%E5%8F%B7","規格未指定","規格未指定","規格未指定",,"4a42e356-feb4-4430-a488-75ac2c823300",2025-04-30T22:28:59Z,"4163a983-3302-40a1-92a3-5e71e2861cb4",,"1400",,"[""ce240b3f-f789-4c41-88d5-c5d25d9c7804""]",true,"JIS規格値",false,false,true,,
"PUBLISHED","砕石","その他",,1.6,"W/mK",,"J/(kg･K)",,"msPa/ng",,"kg/m3",2023-06-02T00:11:19Z,"/material-db/","/cai-zhi-db-2/%E7%A0%95%E7%9F%B3",,,,,"4bbf14bb-6de1-4de5-9bf0-25d8e368e885",2024-10-26T13:57:05Z,"4163a983-3302-40a1-92a3-5e71e2861cb4",,"1001",,"[""d9e0a3fe-989d-444c-af06-40fdcc4723a6""]",true,"規格未指定",,,,,
"PUBLISHED","土壌","土壌･岩石",,1,"W/mK",,"J/(kg･K)",,"msPa/ng",,"kg/m3",2023-06-02T00:11:19Z,"/material-db/","/cai-zhi-db-2/%E5%9C%9F%E5%A3%8C",,,,,"4c0520f9-6481-48df-99da-cc92f689fff7",2024-10-26T13:57:05Z,"4163a983-3302-40a1-92a3-5e71e2861cb4",,"0901",,"[""3318f978-ef98-4f3b-9968-cce13c90523d""]",true,"規格未指定",,,,,
"PUBLISHED","吹込み用セルローズファイバー25K","セルローズファイバー断熱材",,0.04,"W/mK",,"J/(kg･K)",,"msPa/ng",25,"kg/m3",2023-06-02T00:11:19Z,"/material-db/","/cai-zhi-db-2/%E5%90%B9%E8%BE%BC%E3%81%BF%E7%94%A8%E3%82%BB%E3%83%AB%E3%83%AD%E3%83%BC%E3%82%BA%E3%83%95%E3%82%A1%E3%82%A4%E3%83%90%E3%83%BC25k",,,"JIS規格値",,"4d0cc044-a4db-4eca-88ae-0d95a47b5e3c",2024-10-26T13:57:11Z,"4163a983-3302-40a1-92a3-5e71e2861cb4",,"1300",,"[""842682a9-1a7a-49ce-9903-8399e41f5e60""]",true,"規格未指定",,,true,,
"PUBLISHED","2種 1号","硬質ウレタンフォーム断熱材 ",,0.023,"W/mK",,"J/(kg･K)",,"msPa/ng",35,"kg/m3",2023-06-02T00:11:19Z,"/material-db/","/cai-zhi-db-2/2%E7%A8%AE-1%E5%8F%B7",,,"JIS A9521:2017",,"51b15447-cb3c-4340-8ac4-fcf1cb43b34b",2024-10-26T13:57:17Z,"4163a983-3302-40a1-92a3-5e71e2861cb4",,"1601",,"[""e32957e6-a733-4485-b498-76193f5e50ec""]",true,"JIS規格値",,,true,,
"PUBLISHED","コンクリート","コンクリート・レンガ",,1.6,"W/mK",880,"J/(kg･K)",0.336,"msPa/ng",2300,"kg/m3",2023-06-02T00:11:19Z,"/material-db/","/cai-zhi-db-2/%E3%82%B3%E3%83%B3%E3%82%AF%E3%83%AA%E3%83%BC%E3%83%88",,,,,"55c1f9db-3861-4289-812e-0f7d651bd8de",2024-10-26T13:57:25Z,"4163a983-3302-40a1-92a3-5e71e2861cb4",,"0501",,"[""35701a3a-1763-444f-b988-bb1ec761d066""]",true,"規格未指定",,,,,
"PUBLISHED","2種bA ","押出法ポリスチレンフォーム断熱材",,0.034,"W/mK",,"J/(kg･K)",,"msPa/ng",25,"kg/m3",2023-06-02T00:11:19Z,"/material-db/","/cai-zhi-db-2/2%E7%A8%AEba-",,,"JIS A9521:2017",,"576e7157-47ae-4c70-93a9-eee24f7a1eca",2024-10-26T13:57:14Z,"4163a983-3302-40a1-92a3-5e71e2861cb4",,"1503",,"[""0e2ca370-52f6-46d3-838b-71afa49222b6""]",true,"JIS規格値",,,true,,
"PUBLISHED","吹込み用ロックウール65K相当","ロックウール断熱材",,0.039,"W/mK",,"J/(kg･K)",,"msPa/ng",65,"kg/m3",2023-06-02T00:11:19Z,"/material-db/","/cai-zhi-db-2/%E5%90%B9%E8%BE%BC%E3%81%BF%E7%94%A8%E3%83%AD%E3%83%83%E3%82%AF%E3%82%A6%E3%83%BC%E3%83%AB65k%E7%9B%B8%E5%BD%93",,,"JIS規格値",,"580192d0-fc48-469d-b01c-23872c1fa588",2024-10-26T13:57:11Z,"4163a983-3302-40a1-92a3-5e71e2861cb4",,"1204",,"[""3b3ae6e1-0ef3-42df-8d93-02009000bdf3""]",true,"規格未指定",,,true,,
"PUBLISHED","1種 2号 DI、DII ","フェノールフォーム断熱材 ",,0.019,"W/mK",,"J/(kg･K)",,"msPa/ng",25,"kg/m3",2023-06-02T00:11:19Z,"/material-db/","/cai-zhi-db-2/1%E7%A8%AE-2%E5%8F%B7-di%E3%80%81dii-",,,"JIS A9521:2017",,"58670a03-577a-4b6b-b809-70d02bbef65c",2024-10-26T13:57:02Z,"4163a983-3302-40a1-92a3-5e71e2861cb4",,"1908",,"[""50a941f9-c26d-45cd-b243-ea9fa9ea83c2""]",true,"JIS規格値",,,true,,
"PUBLISHED","タイル","その他",,1.3,"W/mK",,"J/(kg･K)",,"msPa/ng",2500,"kg/m3",2023-06-02T00:11:19Z,"/material-db/","/cai-zhi-db-2/%E3%82%BF%E3%82%A4%E3%83%AB",,,"規格未指定",,"596f9c59-d915-411b-9fd6-867520537725",2024-10-26T13:57:23Z,"4163a983-3302-40a1-92a3-5e71e2861cb4",,"0300",,"[""d9e0a3fe-989d-444c-af06-40fdcc4723a6""]",true,"規格未指定",,,true,,
"PUBLISHED","合板","木質系・木質繊維系",,0.16,"W/mK",,"J/(kg･K)",,"msPa/ng",550,"kg/m3",2023-06-02T00:11:19Z,"/material-db/","/cai-zhi-db-2/%E5%90%88%E6%9D%BF",,,,,"59d03ff7-b2e1-4388-b62c-587da9ecee9d",2024-10-26T13:57:21Z,"4163a983-3302-40a1-92a3-5e71e2861cb4",,"0205",,"[""1c19f19c-17bc-469f-9b6e-12a74725e401""]",true,"規格未指定",,,,,
"PUBLISHED","鉛","金属類",,35,"W/mK",,"J/(kg･K)",,"msPa/ng",11360,"kg/m3",2023-06-02T00:11:19Z,"/material-db/","/cai-zhi-db-2/%E9%89%9B",,,"慣例数値",,"5acf16a3-4ad9-420a-9666-4a143e90018d",2024-10-26T13:57:27Z,"4163a983-3302-40a1-92a3-5e71e2861cb4",,"0602",,"[""5c7a57f9-0ab0-4404-acd8-49d7e1d222ab""]",true,"規格未指定",,,true,,
"PUBLISHED","パーティクルボード","木質系・木質繊維系",,0.167,"W/mK",,"J/(kg･K)",,"msPa/ng",900,"kg/m3",2023-06-02T00:11:19Z,"/material-db/","/cai-zhi-db-2/%E3%83%91%E3%83%BC%E3%83%86%E3%82%A3%E3%82%AF%E3%83%AB%E3%83%9C%E3%83%BC%E3%83%89",,,"JIS A5908:2015",,"5e144455-3f48-44ed-aedc-d3494b722cc2",2024-10-26T13:57:20Z,"4163a983-3302-40a1-92a3-5e71e2861cb4",,"0202",,"[""1c19f19c-17bc-469f-9b6e-12a74725e401""]",true,"JIS規格値",,,true,,
